order_id,user_id,order_date,amount,discount_applied,is_successful
O5195,U2168,2023-12-15,687.63,37.17,1
O5196,U1597,2023-09-12,2162.92,23.38,1
O5197,U1491,2024-05-19,723.06,41.49,1
O5198,U1004,2024-06-08,1541.42,233.31,1
O5199,U1066,2024-03-12,4270.43,555.44,1
O5200,U1611,2023-11-04,3716.79,269.68,1
O5201,U1102,2024-01-26,2937.06,145.81,1
O5202,U2017,2023-12-06,3527.71,404.96,1
O5203,U1099,2023-04-14,1699.36,120.82,1
O5204,U1034,2024-06-25,2774.41,481.6,1
O5205,U1413,2023-12-14,2650.85,176.19,1
O5206,U1711,2023-01-07,3174.47,569.5,1
O5207,U1370,2024-02-03,1785.52,172.35,1
O5208,U1520,2024-04-30,2113.47,212.35,1
O5209,U1126,2023-12-29,4741.17,375.86,1
O5210,U1482,2023-11-17,365.6,7.15,1
O5211,U2076,2023-08-31,1454.6,290.64,1
O5212,U1373,2024-04-13,1875.75,98.23,1
O5213,U2004,2023-02-24,709.95,39.18,1
O5214,U1695,2023-01-22,1277.42,51.41,1
O5215,U2179,2023-09-08,1965.98,88.44,1
O5216,U1072,2023-06-08,4393.95,108.29,1
O5217,U1550,2023-12-21,1560.6,178.09,1
O5218,U1084,2023-10-22,2005.89,158.31,1
O5219,U1384,2023-11-10,3210.0,136.72,1
O5220,U1866,2024-02-25,4347.81,792.88,1
O5221,U1404,2023-11-14,3056.79,253.87,1
O5222,U1110,2024-01-18,3737.94,368.54,1
O5223,U1389,2023-02-10,1378.64,92.76,1
O5224,U1605,2023-07-16,2139.73,79.67,1
O5225,U1454,2023-07-17,495.05,97.77,1
O5226,U1433,2023-03-17,3520.48,483.08,0
O5227,U1095,2023-05-08,675.96,130.36,1
O5228,U1083,2023-08-11,2759.25,260.08,1
O5229,U2122,2023-01-27,4452.13,843.37,1
O5230,U2022,2024-06-12,560.92,64.1,1
O5231,U1825,2024-04-08,4593.52,637.2,1
O5232,U1852,2024-01-30,4713.09,480.11,1
O5233,U2038,2023-11-02,4661.61,767.15,1
O5234,U1181,2024-03-19,1670.17,199.55,1
O5235,U1437,2023-08-19,4504.23,59.48,1
O5236,U1368,2024-05-17,787.32,46.2,1
O5237,U1091,2023-04-21,4239.18,228.44,1
O5238,U1737,2023-11-09,1076.28,128.28,1
O5239,U1572,2024-01-21,4818.99,497.96,1
O5240,U2067,2023-09-29,2444.42,119.88,0
O5241,U1577,2023-09-12,3003.45,490.05,0
O5242,U1997,2023-07-02,4900.1,707.24,0
O5243,U1025,2023-04-03,4113.88,276.66,1
O5244,U1475,2024-01-13,2653.91,303.11,1
O5245,U1312,2023-01-19,272.84,9.96,0
O5246,U1460,2023-02-06,895.74,20.0,1
O5247,U1277,2024-01-24,3316.34,636.61,0
O5248,U1816,2023-03-03,4241.27,416.66,0
O5249,U2039,2023-12-30,1684.09,122.67,1
O5250,U1724,2023-02-20,1793.5,224.53,1
O5251,U1188,2024-04-22,4256.74,787.52,1
O5252,U1187,2023-11-05,880.17,139.3,1
O5253,U1283,2023-10-30,1597.82,131.63,1
O5254,U1977,2023-01-04,4153.45,522.86,1
O5255,U1183,2023-03-30,177.77,1.43,1
O5256,U1365,2024-02-07,4478.33,553.45,0
O5257,U1415,2023-11-26,3316.25,316.08,1
O5258,U2077,2024-01-03,4725.42,251.31,1
O5259,U1761,2023-06-03,2509.12,373.66,1
O5260,U1184,2024-03-29,2492.84,291.25,1
O5261,U1143,2023-01-07,1877.43,86.7,0
O5262,U1358,2024-01-02,2109.42,162.38,1
O5263,U1426,2024-05-23,1069.76,55.06,1
O5264,U1629,2023-03-17,3126.48,15.77,1
O5265,U1063,2023-01-26,925.63,32.76,1
O5266,U1147,2023-05-16,2301.29,172.83,1
O5267,U1057,2024-02-03,4811.41,953.36,1
O5268,U1272,2024-01-18,3382.03,250.58,1
O5269,U1964,2024-04-28,1549.64,34.46,1
O5270,U1264,2024-05-30,1622.14,93.12,1
O5271,U1191,2024-05-10,4866.78,170.74,1
O5272,U1995,2023-09-17,3869.96,772.41,1
O5273,U1304,2023-03-21,4909.56,610.73,0
O5274,U1112,2023-10-22,4914.78,464.79,1
O5275,U2153,2023-03-30,1092.69,104.87,1
O5276,U1894,2023-03-13,3189.86,334.91,1
O5277,U1603,2024-05-30,3179.7,572.79,1
O5278,U1154,2023-06-06,1980.79,93.3,1
O5279,U2087,2023-05-10,2311.96,274.86,1
O5280,U1177,2023-11-10,1816.97,332.62,1
O5281,U1704,2023-01-04,2993.62,143.25,1
O5282,U1432,2023-07-20,4470.85,539.57,1
O5283,U2067,2024-05-03,327.56,56.01,1
O5284,U2052,2023-06-15,3551.38,597.46,1
O5285,U2119,2024-01-04,3772.31,374.38,1
O5286,U1598,2024-04-01,3172.24,146.77,1
O5287,U1626,2023-11-10,4725.65,368.49,1
O5288,U1429,2023-10-29,1976.41,190.11,1
O5289,U2165,2024-03-19,4271.52,484.95,1
O5290,U1510,2023-04-11,507.06,7.13,1
O5291,U1762,2023-05-11,4203.53,604.7,1
O5292,U2087,2023-04-06,1820.48,275.09,1
O5293,U1727,2024-06-29,454.09,17.75,1
O5294,U2148,2024-06-23,2117.71,14.02,1
O5295,U2131,2023-06-27,1237.77,58.71,1
O5296,U1760,2023-04-14,450.36,59.14,1
O5297,U1673,2023-06-19,946.02,136.24,1
O5298,U2178,2023-10-21,1871.83,7.21,1
O5299,U1163,2024-04-25,2070.43,272.91,1
O5300,U1114,2023-03-30,4969.69,649.66,1
O5301,U1324,2023-10-12,2402.14,408.13,1
O5302,U1385,2023-02-28,2604.48,152.38,1
O5303,U1568,2023-07-04,4748.36,416.85,1
O5304,U1897,2023-10-10,3572.08,486.25,1
O5305,U1766,2023-05-06,4994.17,441.08,0
O5306,U1474,2023-07-18,124.8,10.15,1
O5307,U1537,2024-06-03,2332.23,172.06,1
O5308,U2086,2023-04-03,4796.2,356.42,1
O5309,U2153,2023-03-17,2161.45,402.76,1
O5310,U1723,2023-12-10,3216.34,597.2,1
O5311,U1898,2023-05-29,3937.37,304.67,1
O5312,U1315,2023-03-20,3864.94,335.61,1
O5313,U1232,2024-05-06,4354.44,264.76,0
O5314,U1990,2023-06-13,4411.71,153.13,1
O5315,U1257,2023-10-18,1720.12,325.54,1
O5316,U2155,2024-02-20,3560.28,225.99,1
O5317,U1787,2023-10-16,3983.54,700.13,1
O5318,U1201,2023-01-16,3930.98,210.77,1
O5319,U1021,2023-01-29,2643.21,383.97,1
O5320,U2060,2023-01-14,3357.27,406.49,1
O5321,U1326,2023-01-20,3927.86,687.95,1
O5322,U1814,2023-04-20,3510.69,415.1,1
O5323,U1948,2024-03-12,1712.79,197.37,1
O5324,U1163,2023-08-20,593.45,65.99,0
O5325,U2023,2023-01-23,4884.73,648.24,1
O5326,U2071,2024-04-15,2644.68,40.46,1
O5327,U1916,2023-09-25,3501.02,651.59,1
O5328,U1246,2024-03-08,4253.19,57.28,1
O5329,U1656,2024-03-19,2413.4,326.06,1
O5330,U2077,2024-03-16,2209.02,358.78,1
O5331,U2119,2023-12-04,679.41,57.81,1
O5332,U1364,2023-01-24,1086.4,120.95,1
O5333,U1752,2023-05-30,3308.25,242.1,1
O5334,U1612,2023-03-03,423.34,72.92,1
O5335,U1590,2023-03-27,3365.74,632.88,1
O5336,U1817,2024-06-10,3947.23,440.16,1
O5337,U1183,2023-04-19,2761.76,354.07,1
O5338,U1164,2024-01-25,3424.2,526.46,1
O5339,U2003,2024-05-16,1078.56,110.3,1
O5340,U1113,2023-11-25,671.99,33.92,1
O5341,U1826,2024-02-26,2318.78,212.41,1
O5342,U1205,2024-01-25,2899.6,168.42,1
O5343,U1287,2023-07-16,559.91,87.54,1
O5344,U1411,2023-10-22,4824.5,662.27,1
O5345,U2147,2023-07-21,3103.86,483.66,1
O5346,U1783,2023-12-19,2363.27,456.41,1
O5347,U1723,2024-04-20,207.34,4.41,1
O5348,U2120,2023-10-27,1803.44,225.66,1
O5349,U1344,2023-10-05,4434.19,835.34,1
O5350,U1356,2023-08-15,2643.94,235.38,1
O5351,U2097,2023-07-13,316.78,34.04,1
O5352,U1605,2024-04-21,2023.07,333.57,1
O5353,U1563,2023-01-03,2911.59,509.18,1
O5354,U1376,2024-03-08,806.64,90.87,1
O5355,U1328,2023-06-04,1812.76,344.15,1
O5356,U1731,2023-07-27,2266.7,76.23,1
O5357,U1011,2024-01-04,1076.47,154.09,1
O5358,U1265,2024-03-25,4029.47,642.57,0
O5359,U1082,2024-03-18,2044.81,150.74,1
O5360,U1561,2023-01-16,1882.7,217.4,1
O5361,U1438,2023-01-17,1278.48,82.76,1
O5362,U1495,2024-04-28,3898.89,292.02,1
O5363,U1124,2024-06-02,3863.1,399.06,1
O5364,U1008,2024-02-15,2847.55,79.02,0
O5365,U1533,2024-06-12,702.78,62.14,1
O5366,U1105,2023-10-12,4721.43,650.71,0
O5367,U1999,2023-06-02,2960.79,80.31,0
O5368,U1172,2023-03-13,2202.26,417.27,1
O5369,U1434,2024-04-07,3499.53,366.07,1
O5370,U1059,2023-02-06,1420.06,258.54,1
O5371,U1299,2023-01-02,916.34,133.65,1
O5372,U2101,2023-06-22,4946.5,572.11,1
O5373,U2152,2024-05-14,113.25,12.72,1
O5374,U1901,2024-05-02,291.2,4.02,1
O5375,U1344,2023-11-04,3461.99,681.7,1
O5376,U1580,2023-09-12,527.62,97.45,1
O5377,U1258,2023-08-11,4075.13,77.14,1
O5378,U1439,2024-02-18,2411.58,411.61,1
O5379,U1072,2023-02-06,2984.53,596.3,1
O5380,U1697,2023-09-27,820.34,3.93,1
O5381,U2054,2023-08-09,628.52,108.44,1
O5382,U1249,2023-03-04,1262.17,70.32,1
O5383,U1060,2024-04-12,612.73,100.85,1
O5384,U2127,2023-08-11,4418.27,823.95,1
O5385,U1629,2023-12-20,222.06,38.37,1
O5386,U2125,2023-05-16,4629.84,589.79,1
O5387,U2115,2024-02-11,2640.38,527.69,1
O5388,U1198,2024-05-20,1472.7,162.48,1
O5389,U1612,2024-03-02,3311.88,171.08,1
O5390,U1319,2023-06-24,1030.79,163.05,0
O5391,U1816,2023-09-18,908.91,60.84,1
O5392,U1620,2024-02-22,1465.43,135.33,1
O5393,U1994,2023-10-27,779.6,56.41,1
O5394,U2114,2023-11-02,4581.45,886.67,1
O5395,U1834,2024-03-21,3988.86,727.81,0
O5396,U1552,2023-12-20,224.93,3.16,1
O5397,U1077,2023-04-13,869.15,110.7,1
O5398,U1234,2023-04-18,596.03,48.81,1
O5399,U1934,2024-02-11,975.14,19.74,1
O5400,U2196,2024-02-14,3091.05,564.3,1
O5401,U1333,2024-02-23,3695.65,68.27,0
O5402,U2148,2023-10-05,2397.97,350.65,1
O5403,U1320,2023-02-18,1960.43,27.22,1
O5404,U1638,2023-03-11,4045.91,742.81,1
O5405,U1267,2023-10-15,1358.64,49.46,1
O5406,U1731,2023-11-01,120.71,8.31,1
O5407,U1892,2024-06-27,3539.66,202.04,1
O5408,U2173,2024-02-08,3750.93,531.12,0
O5409,U2006,2023-06-27,3858.23,610.63,1
O5410,U1937,2023-05-21,4038.51,545.16,1
O5411,U1139,2024-06-21,4321.11,492.09,0
O5412,U1075,2024-03-20,4580.78,282.81,0
O5413,U1797,2023-05-26,184.93,16.38,1
O5414,U1589,2023-12-29,2430.1,280.32,1
O5415,U1156,2024-03-22,3430.78,137.21,1
O5416,U1303,2023-03-17,1345.82,256.3,1
O5417,U1203,2023-10-13,221.21,29.03,1
O5418,U1158,2023-08-25,4831.59,641.21,1
O5419,U1639,2023-05-16,4146.84,8.29,1
O5420,U1117,2023-07-16,2636.32,116.89,1
O5421,U2154,2023-10-26,947.43,21.7,1
O5422,U1450,2023-09-29,800.58,78.37,1
O5423,U1852,2023-11-01,3360.85,382.39,1
O5424,U1262,2023-05-11,1641.36,146.11,1
O5425,U1199,2024-03-07,3649.11,212.22,1
O5426,U1057,2023-10-14,4266.34,772.8,1
O5427,U2170,2024-01-04,4129.93,217.73,1
O5428,U1544,2023-08-16,3222.12,506.97,1
O5429,U1744,2024-03-15,1607.95,294.74,1
O5430,U1446,2024-05-07,489.54,49.01,1
O5431,U1184,2023-05-23,3687.3,32.94,1
O5432,U1424,2023-09-04,1833.95,347.97,1
O5433,U1730,2024-05-03,3136.07,374.83,1
O5434,U1646,2024-02-19,2356.85,197.3,1
O5435,U1775,2024-03-08,2530.57,200.81,1
O5436,U1903,2023-09-19,4824.65,689.37,1
O5437,U1450,2023-11-06,3542.83,73.12,1
O5438,U2196,2023-10-13,4556.75,193.67,1
O5439,U1617,2023-05-26,890.89,75.41,1
O5440,U1523,2023-12-28,1078.05,29.28,1
O5441,U1581,2023-10-21,3486.79,92.89,0
O5442,U1627,2024-02-13,565.92,1.85,1
O5443,U2171,2024-06-10,1039.08,196.25,1
O5444,U1087,2023-02-24,1738.32,174.6,1
O5445,U2148,2023-07-16,2170.1,32.79,0
O5446,U1599,2024-02-14,2948.16,190.26,0
O5447,U1175,2023-08-21,2458.25,173.76,1
O5448,U1936,2023-02-03,278.2,25.53,1
O5449,U2103,2023-08-10,3851.48,70.28,1
O5450,U2111,2023-02-20,2539.9,18.23,1
O5451,U1679,2023-03-02,3323.59,636.74,1
O5452,U1662,2023-10-06,4524.14,336.96,1
O5453,U1429,2024-03-16,4887.86,36.53,0
O5454,U1610,2023-06-29,4846.42,144.69,1
O5455,U1089,2023-12-07,2969.95,1.53,1
O5456,U1391,2023-04-13,810.04,122.69,1
O5457,U1198,2024-01-04,1750.82,200.77,1
O5458,U2176,2024-01-13,2895.52,100.1,1
O5459,U1548,2023-03-13,3077.18,270.44,1
O5460,U1887,2024-02-05,1756.55,319.44,1
O5461,U1443,2024-01-24,4069.59,96.11,1
O5462,U1176,2023-04-22,3264.87,500.92,1
O5463,U1419,2023-05-13,2784.88,373.5,1
O5464,U1309,2023-12-30,1085.36,43.36,0
O5465,U1145,2023-10-21,1410.83,233.21,1
O5466,U1248,2024-04-26,2939.77,484.01,1
O5467,U1856,2023-12-13,458.97,76.59,1
O5468,U2117,2023-05-04,4386.05,87.29,1
O5469,U1602,2024-02-23,2809.88,534.07,0
O5470,U1776,2023-04-29,679.26,31.86,1
O5471,U1029,2023-06-27,698.36,29.19,0
O5472,U1527,2023-12-25,303.74,12.4,1
O5473,U1667,2024-02-11,4642.0,207.64,1
O5474,U1407,2023-04-20,843.91,34.25,1
O5475,U1152,2023-07-09,1620.51,82.69,0
O5476,U1780,2024-01-24,3515.98,90.11,1
O5477,U1227,2023-07-26,4618.19,743.95,1
O5478,U1365,2023-03-22,1739.61,206.13,0
O5479,U1528,2023-01-15,3839.0,1.7,1
O5480,U1596,2024-03-05,3666.4,510.03,1
O5481,U1019,2023-12-18,3621.38,400.68,1
O5482,U2142,2023-10-16,1363.16,123.16,1
O5483,U1450,2023-07-24,2185.73,26.95,1
O5484,U1982,2023-10-31,2627.03,484.12,1
O5485,U1386,2024-01-14,1254.27,241.0,0
O5486,U1500,2024-03-14,4551.66,250.63,1
O5487,U1907,2023-12-25,644.17,3.79,1
O5488,U1006,2024-04-04,3349.64,258.94,0
O5489,U2096,2023-05-26,1746.91,114.57,1
O5490,U2045,2023-09-02,2580.7,288.31,1
O5491,U1769,2023-04-01,790.38,140.98,1
O5492,U1697,2024-06-17,2483.77,1.06,1
O5493,U1692,2023-01-05,2448.53,100.75,1
O5494,U1126,2024-05-07,4342.06,491.19,1
O5495,U2083,2023-11-18,1993.19,316.94,1
O5496,U1792,2024-03-12,2078.76,80.56,1
O5497,U1437,2024-02-19,3768.22,519.9,1
O5498,U1812,2023-09-10,1100.86,127.12,0
O5499,U1684,2023-11-12,2498.0,58.92,0
O5500,U1162,2023-07-05,509.19,20.05,1
O5501,U1734,2023-07-15,4488.23,204.07,1
O5502,U1531,2023-06-15,4504.69,888.01,1
O5503,U2048,2023-06-02,4562.96,486.04,1
O5504,U2046,2023-05-04,3865.42,683.64,1
O5505,U1753,2024-01-27,167.32,1.8,1
O5506,U2137,2024-04-20,1479.82,136.23,0
O5507,U1038,2024-01-29,1474.85,23.2,1
O5508,U1490,2023-12-12,2547.86,497.16,0
O5509,U1324,2023-06-08,1413.88,210.97,1
O5510,U1267,2023-08-26,4462.7,691.35,1
O5511,U1831,2024-06-13,1630.13,247.03,1
O5512,U1507,2023-08-17,3365.42,549.49,0
O5513,U1797,2023-01-28,2020.91,58.59,1
O5514,U1864,2023-07-21,2759.68,81.47,1
O5515,U1224,2023-05-21,2967.83,279.13,1
O5516,U2028,2024-04-27,1465.19,231.59,1
O5517,U1737,2024-03-05,3611.46,512.65,1
O5518,U1030,2023-07-16,3352.44,435.17,0
O5519,U2111,2024-02-26,2571.51,424.54,1
O5520,U1738,2023-07-07,2426.6,401.02,1
O5521,U1636,2024-06-12,658.41,83.12,1
O5522,U1844,2023-10-29,1678.54,305.3,0
O5523,U2064,2023-05-14,2356.97,58.89,1
O5524,U1711,2023-03-24,4763.3,115.89,1
O5525,U1539,2023-04-24,4159.91,189.12,1
O5526,U1609,2023-11-14,3428.29,322.76,1
O5527,U2184,2023-04-09,684.88,68.83,1
O5528,U1580,2023-11-14,312.51,48.34,1
O5529,U1523,2024-04-02,3918.94,1.51,1
O5530,U1362,2023-07-23,531.34,62.86,1
O5531,U1772,2023-04-23,2411.73,69.06,0
O5532,U2048,2023-05-17,3445.24,355.65,0
O5533,U1537,2023-06-24,4768.6,927.86,1
O5534,U2038,2023-01-30,1396.7,91.06,1
O5535,U1187,2023-06-29,4638.72,804.39,0
O5536,U2157,2024-01-17,667.85,14.58,1
O5537,U1977,2023-11-10,3783.74,483.12,1
O5538,U1631,2024-03-30,4655.67,891.93,1
O5539,U1469,2024-02-05,1775.28,302.61,1
