user_id,action_date,action_type,feature_name
U1480,2023-09-04,feature_click,ReportBuilder
U1480,2023-09-18,logout,ExportTool
U1480,2023-10-10,login,FeatureY
U1480,2023-10-19,login,Dashboard
U1480,2023-11-04,feature_click,FeatureX
U1480,2023-11-06,feature_click,FeatureY
U1480,2023-11-19,login,Settings
U1480,2024-01-04,logout,Dashboard
U1480,2024-01-20,logout,FeatureY
U1480,2024-02-11,login,ExportTool
U1480,2024-04-03,logout,Dashboard
U1480,2024-04-08,feature_click,ChatSupport
U1480,2024-06-07,feature_click,Settings
U1480,2024-06-14,login,Dashboard
U1204,2023-02-20,feature_click,FeatureY
U1204,2023-03-15,feature_click,ReportBuilder
U1204,2023-03-26,login,FeatureY
U1204,2023-03-29,feature_click,FeatureX
U1204,2023-04-03,feature_click,Settings
U1204,2023-05-14,feature_click,FeatureX
U1204,2023-05-16,logout,Dashboard
U1204,2023-05-19,feature_click,ChatSupport
U1204,2023-06-01,feature_click,
U1204,2023-07-20,logout,ChatSupport
U1204,2023-07-22,feature_click,Dashboard
U1204,2023-08-16,login,Settings
U1204,2023-09-06,logout,FeatureX
U1204,2023-09-10,login,ReportBuilder
U1204,2023-09-26,login,Dashboard
U1204,2023-10-24,login,ChatSupport
U1204,2023-12-11,feature_click,Dashboard
U1204,2024-02-08,feature_click,ReportBuilder
U1204,2024-02-09,feature_click,
U1204,2024-02-13,feature_click,Dashboard
U1204,2024-02-13,feature_click,Settings
U1204,2024-03-18,logout,Settings
U1204,2024-03-20,login,ExportTool
U1204,2024-04-01,logout,
U1204,2024-05-02,logout,ChatSupport
U1204,2024-05-07,logout,Dashboard
U1204,2024-05-14,feature_click,Dashboard
U1204,2024-05-28,feature_click,ChatSupport
U1204,2024-05-31,loginn,ExportTool
U1204,2024-06-20,login,ExportTool
U1583,2023-01-09,feature_click,FeatureY
U1583,2023-01-20,login,FeatureY
U1583,2023-03-10,logout,ReportBuilder
U1583,2023-04-21,feature_click,
U1583,2023-10-05,logout,ReportBuilder
U1583,2024-01-04,login,Settings
U1583,2024-02-02,logout,
U1583,2024-04-21,logout,Dashboard
U1142,2023-06-10,login,FeatureX
U1142,2023-09-11,logout,FeatureX
U1142,2023-11-09,feature_click,ExportTool
U1142,2023-12-08,login,ExportTool
U1142,2024-02-07,login,ExportTool
U1142,2024-05-16,feature_click,Dashboard
U1142,2024-06-26,logout,ExportTool
U1396,2023-03-31,login,ExportTool
U1396,2023-05-15,logout,ChatSupport
U1396,2023-05-21,feature_click,ChatSupport
U1396,2023-05-22,logout,ChatSupport
U1396,2023-06-05,feature_click,ReportBuilder
U1396,2023-06-06,logout,ReportBuilder
U1396,2023-07-27,login,FeatureX
U1396,2023-07-31,login,Dashboard
U1396,2023-08-21,feature_click,FeatureY
U1396,2023-09-04,feature_click,ExportTool
U1396,2023-11-16,feature_click,ExportTool
U1396,2023-12-04,login,Settings
U1396,2023-12-16,login,ChatSupport
U1396,2024-01-27,login,Dashboard
U1396,2024-02-07,logout,ExportTool
U1396,2024-03-03,logout,Settings
U1396,2024-03-12,logout,Settings
U1396,2024-04-04,login,Dashboard
U1396,2024-06-17,feature_click,ReportBuilder
U1650,2023-01-16,logout,ReportBuilder
U1650,2023-02-03,feature_click,
U1650,2023-02-09,login,Settings
U1650,2023-02-12,logout,FeatureY
U1650,2023-03-09,logout,Dashboard
U1650,2023-05-18,logout,FeatureY
U1650,2023-05-21,logout,Dashboard
U1650,2023-06-17,login,ExportTool
U1650,2023-07-01,feature_click,FeatureY
U1650,2023-07-08,feature_click,ExportTool
U1650,2023-07-17,feature_click,ChatSupport
U1650,2023-07-27,feature_click,ExportTool
U1650,2023-07-29,logout,Dashboard
U1650,2023-08-16,logout,ChatSupport
U1650,2023-08-20,feature_click,
U1650,2023-09-10,login,ReportBuilder
U1650,2023-10-04,login,ChatSupport
U1650,2023-11-17,feature_click,FeatureY
U1650,2023-11-29,feature_click,
U1650,2024-01-18,login,ChatSupport
U1650,2024-01-25,feature_click,Settings
U1650,2024-02-01,feature_click,ReportBuilder
U1650,2024-02-08,feature_click,FeatureX
U1650,2024-02-19,logout,ChatSupport
U1650,2024-02-23,logout,ReportBuilder
U1650,2024-02-27,login,ReportBuilder
U1650,2024-03-13,logout,
U1650,2024-03-25,logout,FeatureX
U1650,2024-04-13,login,FeatureY
U1650,2024-04-25,logout,ChatSupport
U1650,2024-04-30,feature_click,FeatureY
U1650,2024-05-16,login,ChatSupport
U1650,2024-05-18,feature_click,ChatSupport
U1650,2024-05-29,login,ChatSupport
U1650,2024-06-21,login,Dashboard
U1995,2023-01-04,logout,FeatureX
U1995,2023-01-06,login,ChatSupport
U1995,2023-01-07,login,ExportTool
U1995,2023-01-13,feature_click,ReportBuilder
U1995,2023-02-20,login,ReportBuilder
U1995,2023-02-26,feature_click,ChatSupport
U1995,2023-03-23,login,ExportTool
U1995,2023-05-01,logout,ChatSupport
U1995,2023-05-15,feature_click,FeatureX
U1995,2023-06-01,login,ReportBuilder
U1995,2023-07-05,feature_click,FeatureX
U1995,2023-07-09,feature_click,FeatureY
U1995,2023-07-27,login,FeatureY
U1995,2023-08-01,logout,ReportBuilder
U1995,2023-08-11,feature_click,
U1995,2023-09-01,login,ReportBuilder
U1995,2023-09-08,logout,ExportTool
U1995,2023-09-17,feature_click,FeatureY
U1995,2023-10-12,logout,Settings
U1995,2023-10-23,logout,Settings
U1995,2023-11-12,logout,Dashboard
U1995,2023-11-13,login,ReportBuilder
U1995,2024-02-24,feature_click,ExportTool
U1995,2024-03-28,feature_click,FeatureX
U1995,2024-04-01,feature_click,FeatureX
U1995,2024-04-09,login,
U1995,2024-04-14,logout,
U1995,2024-05-02,feature_click,ChatSupport
U1995,2024-05-20,logout,Settings
U1995,2024-05-24,logout,ExportTool
U1995,2024-05-25,login,Dashboard
U1922,2023-01-12,logout,ExportTool
U1922,2023-01-25,feature_click,ReportBuilder
U1922,2023-02-16,feature_click,ExportTool
U1922,2023-05-01,logout,FeatureX
U1922,2023-07-26,login,ReportBuilder
U1922,2023-08-01,logout,FeatureX
U1922,2023-08-06,feature_click,FeatureY
U1922,2023-12-08,logout,Dashboard
U1922,2023-12-25,login,Settings
U1922,2024-02-28,feature_click,FeatureX
U1922,2024-02-29,logout,
U1922,2024-04-21,feature_click,Dashboard
U1672,2023-01-20,feature_click,ReportBuilder
U1672,2023-02-27,login,ExportTool
U1672,2023-06-09,login,FeatureX
U1672,2023-08-02,feature_click,ChatSupport
U1672,2023-11-03,logout,FeatureY
U1672,2023-11-20,login,ReportBuilder
U1672,2023-12-06,feature_click,FeatureX
U1672,2023-12-10,logout,Dashboard
U1672,2024-02-28,feature_click,FeatureY
U1672,2024-04-16,login,
U1672,2024-04-18,login,FeatureX
U1672,2024-05-08,feature_click,ExportTool
U1672,2024-06-17,login,ExportTool
U1626,2023-01-26,feature_click,ChatSupport
U1626,2023-02-08,login,ChatSupport
U1626,2023-04-05,login,Dashboard
U1626,2023-04-25,feature_click,FeatureY
U1626,2023-06-07,logout,ReportBuilder
U1626,2023-07-14,login,ExportTool
U1626,2023-07-26,login,ReportBuilder
U1626,2023-11-14,feature_click,
U1626,2023-12-15,login,ReportBuilder
U1626,2024-01-19,logout,ExportTool
U1626,2024-03-30,login,ExportTool
U1626,2024-05-09,logout,Settings
U1626,2024-05-10,feature_click,Settings
U1626,2024-05-27,login,ExportTool
U1626,2024-06-02,feature_click,FeatureX
U1626,2024-06-20,feature_click,ReportBuilder
U1312,2023-01-16,feature_click,Dashboard
U1312,2023-01-30,login,FeatureY
U1312,2023-02-21,login,ReportBuilder
U1312,2023-03-14,feature_click,FeatureY
U1312,2023-04-15,login,
U1312,2023-04-28,logout,FeatureX
U1312,2023-05-14,feature_click,FeatureX
U1312,2023-05-25,login,ReportBuilder
U1312,2023-06-02,feature_click,ChatSupport
U1312,2023-06-11,login,
U1312,2023-06-25,login,
U1312,2023-07-31,feature_click,
U1312,2023-09-08,feature_click,Settings
U1312,2023-10-05,login,ChatSupport
U1312,2023-10-08,logout,ExportTool
U1312,2023-10-18,feature_click,FeatureY
U1312,2023-11-15,login,FeatureX
U1312,2023-11-23,feature_click,
U1312,2023-12-13,feature_click,Dashboard
U1312,2023-12-25,login,
U1312,2024-03-30,login,FeatureX
U1312,2024-06-10,feature_click,
U2158,2023-03-14,logout,Settings
U2158,2023-04-16,logout,ChatSupport
U2158,2023-04-20,feature_click,FeatureY
U2158,2023-05-11,login,FeatureX
U2158,2023-09-02,login,FeatureY
U2158,2023-10-17,feature_click,FeatureX
U2158,2023-11-06,logout,Settings
U2158,2023-11-30,login,ReportBuilder
U2158,2023-12-23,logout,
U2158,2024-02-15,login,
U2158,2024-02-20,feature_click,ReportBuilder
U2158,2024-02-28,feature_click,ChatSupport
U2158,2024-04-17,feature_click,FeatureY
U2158,2024-06-04,login,ReportBuilder
U2158,2024-06-29,logout,FeatureY
U2160,2023-01-01,feature_click,Dashboard
U2160,2023-01-09,feature_click,Dashboard
U2160,2023-03-04,login,FeatureX
U2160,2023-04-02,login,ExportTool
U2160,2023-04-03,login,Settings
U2160,2023-05-11,feature_click,FeatureY
U2160,2023-05-23,logout,FeatureX
U2160,2023-05-31,logout,FeatureY
U2160,2023-06-02,feature_click,FeatureY
U2160,2023-07-20,feature_click,Settings
U2160,2023-07-30,logout,ChatSupport
U2160,2023-08-11,feature_click,ChatSupport
U2160,2023-10-26,login,FeatureY
U2160,2023-11-03,feature_click,FeatureY
U2160,2023-11-08,login,ExportTool
U2160,2023-11-21,logout,ChatSupport
U2160,2023-12-19,login,Dashboard
U2160,2024-02-04,login,Dashboard
U2160,2024-02-18,login,
U2160,2024-03-21,logout,FeatureY
U2160,2024-04-02,login,ReportBuilder
U2160,2024-04-08,login,FeatureY
U2160,2024-05-21,feature_click,FeatureY
U2160,2024-06-06,logout,ChatSupport
U2160,2024-06-28,feature_click,FeatureY
U1746,2023-01-08,feature_click,FeatureX
U1746,2023-01-12,feature_click,ExportTool
U1746,2023-02-04,login,Dashboard
U1746,2023-02-08,logout,ExportTool
U1746,2023-02-24,logout,ExportTool
U1746,2023-03-21,login,
U1746,2023-03-22,logout,ChatSupport
U1746,2023-03-23,logout,Dashboard
U1746,2023-04-01,logout,ExportTool
U1746,2023-04-26,logout,Dashboard
U1746,2023-05-26,feature_click,
U1746,2023-07-10,login,ChatSupport
U1746,2023-08-20,logout,ReportBuilder
U1746,2023-08-31,feature_click,ExportTool
U1746,2023-09-09,login,ExportTool
U1746,2023-10-03,feature_click,ExportTool
U1746,2023-10-14,login,ReportBuilder
U1746,2023-11-16,logout,ChatSupport
U1746,2023-12-06,logout,ChatSupport
U1746,2023-12-18,logout,
U1746,2023-12-30,feature_click,ChatSupport
U1746,2024-01-11,feature_click,Settings
U1746,2024-01-13,feature_click,ChatSupport
U1746,2024-01-29,logout,Dashboard
U1746,2024-02-25,feature_click,ReportBuilder
U1746,2024-03-10,login,ChatSupport
U1746,2024-04-05,feature_click,FeatureY
U1746,2024-04-09,feature_click,Settings
U1746,2024-04-21,logout,
U1746,2024-04-25,logout,ChatSupport
U1746,2024-04-25,login,FeatureX
U1746,2024-04-28,login,ExportTool
U1746,2024-05-08,login,Dashboard
U1746,2024-05-09,login,
U1746,2024-05-25,feature_click,
U1746,2024-05-28,feature_click,
U1746,2024-06-08,logout,Settings
U1746,2024-06-13,feature_click,FeatureY
U1746,2024-06-19,feature_click,ExportTool
U1746,2024-06-23,login,FeatureY
U1647,2023-10-23,logout,Dashboard
U1647,2023-11-20,login,FeatureX
U1647,2024-01-27,feature_click,ExportTool
U1647,2024-04-04,feature_click,ExportTool
U1647,2024-06-26,feature_click,ReportBuilder
U1877,2023-01-09,login,Dashboard
U1877,2023-01-11,login,ReportBuilder
U1877,2023-01-13,login,Settings
U1877,2023-03-11,logout,ReportBuilder
U1877,2023-04-11,logout,ReportBuilder
U1877,2023-04-17,login,ChatSupport
U1877,2023-07-04,feature_click,ChatSupport
U1877,2023-07-19,login,ChatSupport
U1877,2023-08-13,feature_click,ExportTool
U1877,2023-09-05,feature_click,ReportBuilder
U1877,2023-09-15,logout,
U1877,2023-10-18,feature_click,FeatureY
U1877,2023-11-17,logout,FeatureX
U1877,2023-12-12,feature_click,ChatSupport
U1877,2023-12-26,login,ExportTool
U1877,2024-02-05,login,FeatureY
U1877,2024-02-26,feature_click,FeatureX
U1877,2024-04-01,login,ExportTool
U1877,2024-04-17,feature_click,ChatSupport
U1877,2024-06-16,feature_click,ReportBuilder
U1877,2024-06-21,feature_click,Settings
U1345,2023-01-01,feature_click,ReportBuilder
U1345,2023-01-04,logout,Settings
U1345,2023-01-20,login,FeatureY
U1345,2023-02-05,logout,
U1345,2023-02-08,login,FeatureX
U1345,2023-03-14,feature_click,ExportTool
U1345,2023-03-16,feature_click,Dashboard
U1345,2023-04-16,logout,ReportBuilder
U1345,2023-04-19,feature_click,FeatureX
U1345,2023-04-22,login,
U1345,2023-05-28,feature_click,Settings
U1345,2023-06-02,login,Dashboard
U1345,2023-06-05,feature_click,Settings
U1345,2023-07-02,feature_click,FeatureY
U1345,2023-08-12,login,FeatureX
U1345,2023-09-14,feature_click,ReportBuilder
U1345,2023-09-23,logout,
U1345,2023-09-30,logout,Settings
U1345,2023-12-04,login,Dashboard
U1345,2024-02-04,login,Dashboard
U1345,2024-02-05,logout,Settings
U1345,2024-03-17,feature_click,FeatureY
U1345,2024-03-22,login,ExportTool
U1345,2024-03-28,feature_click,
U1345,2024-04-01,login,Dashboard
U1345,2024-05-04,feature_click,Dashboard
U1345,2024-05-17,feature_click,Dashboard
U1345,2024-05-18,feature_click,ReportBuilder
U1345,2024-05-24,login,
U1345,2024-06-11,logout,ChatSupport
U1009,2023-01-15,feature_click,Settings
U1009,2023-01-20,login,Settings
U1009,2023-02-07,feature_click,FeatureX
U1009,2023-02-16,logout,FeatureY
U1009,2023-02-21,feature_click,ReportBuilder
U1009,2023-03-07,logout,ChatSupport
U1009,2023-03-15,feature_click,Settings
U1009,2023-04-10,login,ChatSupport
U1009,2023-04-19,feature_click,ReportBuilder
U1009,2023-04-27,login,ExportTool
U1009,2023-05-14,login,FeatureY
U1009,2023-05-25,login,FeatureX
U1009,2023-06-24,logout,ChatSupport
U1009,2023-06-26,feature_click,Settings
U1009,2023-09-06,logout,Dashboard
U1009,2023-11-11,login,ReportBuilder
U1009,2024-04-12,logout,FeatureY
U1009,2024-04-27,login,Dashboard
U1009,2024-05-15,feature_click,ReportBuilder
U1641,2023-01-08,logout,
U1641,2023-04-02,logout,ChatSupport
U1641,2023-07-03,login,ChatSupport
U1641,2023-10-18,logout,ExportTool
U1641,2024-03-02,logout,
U1504,2023-01-05,logout,FeatureX
U1504,2023-02-08,feature_click,Settings
U1504,2023-02-14,feature_click,ExportTool
U1504,2023-02-24,feature_click,
U1504,2023-02-25,login,ReportBuilder
U1504,2023-04-01,logout,Dashboard
U1504,2023-04-08,logout,ChatSupport
U1504,2023-04-26,login,Dashboard
U1504,2023-05-01,feature_click,ReportBuilder
U1504,2023-06-02,login,Settings
U1504,2023-06-13,logout,
U1504,2023-06-28,logout,FeatureX
U1504,2023-06-30,feature_click,Settings
U1504,2023-07-04,logout,FeatureX
U1504,2023-07-16,login,ReportBuilder
U1504,2023-07-18,feature_click,Settings
U1504,2023-08-02,login,Settings
U1504,2023-08-13,logout,FeatureY
U1504,2023-08-30,login,FeatureY
U1504,2023-09-02,login,ReportBuilder
U1504,2023-10-11,feature_click,
U1504,2023-11-05,login,FeatureY
U1504,2023-12-23,login,Settings
U1504,2024-01-06,logout,
U1504,2024-03-04,login,FeatureY
U1504,2024-04-20,feature_click,ChatSupport
U1504,2024-04-30,feature_click,Settings
U1504,2024-05-24,logout,FeatureX
U1504,2024-05-26,feature_click,Settings
U1504,2024-06-03,feature_click,ChatSupport
U1504,2024-06-26,login,Dashboard
U1453,2023-01-15,logout,Settings
U1453,2023-03-30,login,FeatureX
U1453,2023-04-24,feature_click,Settings
U1453,2023-05-20,logout,ChatSupport
U1453,2023-06-10,logout,Dashboard
U1453,2023-06-24,feature_click,Dashboard
U1453,2023-06-25,login,
U1453,2023-08-10,logout,Dashboard
U1453,2023-08-14,feature_click,FeatureY
U1453,2023-08-24,feature_click,ReportBuilder
U1453,2023-10-13,feature_click,
U1453,2023-10-30,login,ReportBuilder
U1453,2023-12-18,logout,Dashboard
U1453,2024-02-26,logout,FeatureY
U1453,2024-03-04,login,ChatSupport
U1453,2024-03-14,feature_click,ExportTool
U1453,2024-04-14,login,ReportBuilder
U1453,2024-04-18,login,
U1453,2024-04-21,logout,ExportTool
U1453,2024-04-29,login,
U1453,2024-05-15,logout,Dashboard
U1453,2024-06-18,feature_click,
U1893,2023-01-02,logout,Settings
U1893,2023-02-03,logout,ReportBuilder
U1893,2023-03-14,logout,FeatureX
U1893,2023-07-09,logout,Dashboard
U1893,2023-10-04,logout,FeatureX
U1893,2023-10-31,login,ReportBuilder
U1893,2023-12-07,feature_click,FeatureX
U1893,2024-01-15,feature_click,Dashboard
U1893,2024-01-30,feature_click,FeatureX
U1893,2024-02-20,login,ReportBuilder
U1893,2024-03-12,logout,Settings
U1893,2024-04-20,login,FeatureX
U1893,2024-06-27,login,ReportBuilder
U1566,2023-02-25,login,ChatSupport
U1566,2023-03-06,feature_click,ChatSupport
U1566,2023-03-09,login,Dashboard
U1566,2023-03-20,feature_click,FeatureY
U1566,2023-03-24,logout,ChatSupport
U1566,2023-03-31,feature_click,FeatureX
U1566,2023-04-22,feature_click,
U1566,2023-05-06,logout,Dashboard
U1566,2023-06-18,feature_click,Settings
U1566,2023-07-03,login,Dashboard
U1566,2023-07-12,login,FeatureX
U1566,2023-08-03,feature_click,FeatureX
U1566,2023-08-19,logout,FeatureX
U1566,2023-10-01,feature_click,
U1566,2023-10-10,feature_click,ExportTool
U1566,2023-10-11,logout,ChatSupport
U1566,2023-10-23,feature_click,ChatSupport
U1566,2023-10-27,feature_click,Settings
U1566,2023-11-25,feature_click,FeatureX
U1566,2023-12-20,feature_click,Dashboard
U1566,2023-12-28,login,FeatureX
U1566,2024-01-12,feature_click,
U1566,2024-01-17,login,ChatSupport
U1566,2024-02-05,logout,ExportTool
U1566,2024-03-09,login,ChatSupport
U1566,2024-04-07,logout,ChatSupport
U1566,2024-04-08,login,Settings
U1566,2024-04-13,login,Dashboard
U1566,2024-04-26,feature_click,ChatSupport
U1566,2024-05-12,feature_click,ExportTool
U1566,2024-05-28,feature_click,ChatSupport
U1566,2024-05-30,login,Dashboard
U1566,2024-06-23,logout,FeatureX
U1566,2024-06-28,feature_click,ChatSupport
U1566,2024-06-29,feature_click,
U1736,2023-01-05,login,ReportBuilder
U1736,2023-01-26,logout,
U1736,2023-01-26,logout,ReportBuilder
U1736,2023-02-11,logout,FeatureY
U1736,2023-02-26,login,
U1736,2023-04-05,feature_click,Dashboard
U1736,2023-04-26,logout,FeatureX
U1736,2023-04-30,feature_click,ChatSupport
U1736,2023-05-05,logout,FeatureY
U1736,2023-05-23,feature_click,FeatureY
U1736,2023-05-29,feature_click,Dashboard
U1736,2023-05-31,feature_click,FeatureX
U1736,2023-06-09,feature_click,ExportTool
U1736,2023-06-16,feature_click,ReportBuilder
U1736,2023-07-19,login,
U1736,2023-07-20,logout,FeatureY
U1736,2023-08-14,feature_click,ExportTool
U1736,2023-08-16,login,FeatureY
U1736,2023-10-12,logout,FeatureY
U1736,2023-10-24,login,ReportBuilder
U1736,2023-10-30,login,Settings
U1736,2023-11-05,feature_click,
U1736,2023-11-12,logout,FeatureX
U1736,2023-11-24,login,FeatureY
U1736,2023-12-01,login,Dashboard
U1736,2023-12-06,feature_click,ExportTool
U1736,2023-12-13,feature_click,ChatSupport
U1736,2024-01-01,logout,
U1736,2024-02-16,logout,ChatSupport
U1736,2024-02-19,login,ChatSupport
U1736,2024-03-28,feature_click,ExportTool
U1736,2024-04-01,logout,
U1736,2024-04-14,login,ExportTool
U1736,2024-04-30,logout,ExportTool
U1736,2024-05-05,feature_click,
U1736,2024-05-26,login,Dashboard
U1736,2024-06-03,login,ChatSupport
U1736,2024-06-23,feature_click,ExportTool
U1736,2024-06-30,logout,
U1275,2023-01-30,logout,FeatureY
U1275,2023-03-10,feature_click,
U1275,2023-05-03,logout,ReportBuilder
U1275,2023-07-03,feature_click,Dashboard
U1275,2023-09-08,feature_click,ChatSupport
U1275,2023-10-11,logout,Dashboard
U1275,2023-10-22,login,FeatureX
U1275,2024-01-06,feature_click,ChatSupport
U1275,2024-03-03,feature_click,ChatSupport
U1275,2024-05-07,login,ExportTool
U1275,2024-05-18,feature_click,FeatureY
U1275,2024-05-19,logout,FeatureX
U1679,2023-03-20,logout,ChatSupport
U1679,2023-04-07,logout,FeatureX
U1679,2023-07-07,feature_click,ExportTool
U1679,2023-07-18,feature_click,FeatureX
U1679,2023-10-24,login,FeatureX
U1679,2023-10-26,login,Dashboard
U1679,2024-06-10,login,ExportTool
U1679,2024-06-26,feature_click,
U1982,2023-01-18,logout,ChatSupport
U1982,2023-01-30,logout,Settings
U1982,2023-03-20,feature_click,ChatSupport
U1982,2023-04-15,login,ChatSupport
U1982,2023-04-27,login,FeatureY
U1982,2023-04-30,logout,ReportBuilder
U1982,2023-05-02,login,Dashboard
U1982,2023-05-12,feature_click,FeatureY
U1982,2023-05-15,login,Settings
U1982,2023-05-23,login,Dashboard
U1982,2023-06-08,logout,Dashboard
U1982,2023-06-16,feature_click,ReportBuilder
U1982,2023-06-26,feature_click,Dashboard
U1982,2023-07-12,login,ExportTool
U1982,2023-08-12,logout,Dashboard
U1982,2023-08-15,login,FeatureX 
U1982,2023-08-16,logout,Settings
U1982,2023-11-08,logout,Settings
U1982,2023-11-16,login,FeatureX
U1982,2023-12-15,login,ReportBuilder
U1982,2023-12-17,login,ExportTool
U1982,2023-12-23,logout,FeatureX
U1982,2024-01-07,feature_click,ChatSupport
U1982,2024-03-03,logout,Settings
U1982,2024-03-28,logout,ReportBuilder
U1982,2024-04-16,login,Dashboard
U1982,2024-05-06,logout,Settings
U1982,2024-05-30,logout,Settings
U1982,2024-06-19,feature_click,ChatSupport
U1982,2024-06-22,logout,Dashboard
U1982,2024-06-28,logout,ReportBuilder
U1947,2023-04-20,login,ChatSupport
U1947,2023-04-26,feature_click,FeatureX
U1947,2023-05-07,logout,ExportTool
U1947,2023-07-05,logout,Dashboard
U1947,2023-07-09,login,FeatureX
U1947,2023-08-08,feature_click,ReportBuilder
U1947,2023-08-22,feature_click,ExportTool
U1947,2023-11-18,feature_click,ExportTool
U1947,2023-12-30,logout,
U1947,2024-01-11,login,FeatureY
U1947,2024-01-24,feature_click,FeatureY
U1947,2024-02-22,login,ReportBuilder
U1947,2024-03-10,feature_click,FeatureX
U1947,2024-03-26,login,Dashboard
U1947,2024-04-22,logout,
U1947,2024-05-01,logout,ReportBuilder
U1947,2024-05-31,feature_click,
U1947,2024-06-10,logout,ReportBuilder
U1912,2023-03-08,login,FeatureY
U1912,2023-04-15,logout,
U1912,2023-05-06,feature_click,ExportTool
U1912,2023-05-27,logout,FeatureY
U1912,2023-06-22,feature_click,
U1912,2023-07-23,logout,FeatureY
U1912,2023-07-25,feature_click,ExportTool
U1912,2023-12-13,login,
U1912,2024-01-08,login,ReportBuilder
U1912,2024-02-09,feature_click,
U1912,2024-02-15,feature_click,Settings
U1912,2024-02-18,logout,ChatSupport
U1734,2023-01-28,feature_click,FeatureX
U1734,2023-02-24,login,ExportTool
U1734,2023-03-11,logout,ReportBuilder
U1734,2023-04-12,login,
U1734,2023-07-03,feature_click,Settings
U1734,2024-05-25,feature_click,
U1625,2023-01-19,feature_click,FeatureX
U1625,2023-02-02,login,Dashboard
U1625,2023-02-03,logout,Dashboard
U1625,2023-02-06,login,FeatureX
U1625,2023-02-27,feature_click,Dashboard
U1625,2023-04-23,logout,FeatureX
U1625,2023-05-02,feature_click,ReportBuilder
U1625,2023-05-18,feature_click,FeatureX
U1625,2023-06-10,feature_click,FeatureY
U1625,2023-06-18,feature_click,Dashboard
U1625,2023-07-01,logout,Settings
U1625,2023-09-25,login,Settings
U1625,2023-09-27,logout,ExportTool
U1625,2023-11-07,logout,ReportBuilder
U1625,2023-11-16,logout,ReportBuilder
U1625,2023-11-19,feature_click,ReportBuilder
U1625,2023-12-18,feature_click,ChatSupport
U1625,2023-12-28,login,FeatureX
U1625,2024-01-21,login,
U1625,2024-01-22,logout,FeatureY
U1625,2024-01-28,logout,FeatureY
U1625,2024-02-03,feature_click,Dashboard
U1625,2024-02-05,logout,
U1625,2024-03-16,logout,Dashboard
U1625,2024-03-17,feature_click,FeatureY
U1625,2024-03-29,logout,FeatureY
U1625,2024-04-05,feature_click,ReportBuilder
U1625,2024-04-15,feature_click,ReportBuilder
U1625,2024-04-26,logout,Settings
U1625,2024-05-02,feature_click,
U1625,2024-05-14,logout,FeatureX
U1625,2024-05-17,login,ExportTool
U1625,2024-05-18,feature_click,FeatureY
U1625,2024-05-21,login,
U1625,2024-05-31,logout,ReportBuilder
U1625,2024-06-02,logout,Settings
U1997,2023-02-18,feature_click,ExportTool
U1997,2023-03-10,logout,
U1997,2023-03-20,logout,ChatSupport
U1997,2023-04-05,login,ChatSupport
U1997,2023-04-08,logout,
U1997,2023-07-24,login,
U1997,2023-08-03,feature_click,FeatureY
U1997,2023-08-20,logout,Dashboard
U1997,2023-09-29,logout,Settings
U1997,2023-10-07,feature_click,
